"ID","x-position","y-position","z-position","algorithm"
0,0,0,0,"simple_robot.lua"
1,0,0,0,"simple_robot.lua"
2,0,0,0,"simple_robot.lua"
3,0,0,0,"simple_robot.lua"
4,0,0,0,"simple_robot.lua"
5,0,0,0,"simple_robot.lua"
6,0,0,0,"simple_robot.lua"
7,0,0,0,"simple_robot.lua"
8,0,0,0,"simple_robot.lua"
9,0,0,0,"simple_robot.lua"
10,0,0,0,"simple_robot.lua"
11,0,0,0,"simple_robot.lua"
12,0,0,0,"simple_robot.lua"
13,0,0,0,"simple_robot.lua"
14,0,0,0,"simple_robot.lua"
15,0,0,0,"simple_robot.lua"
16,0,0,0,"simple_robot.lua"
17,0,0,0,"simple_robot.lua"
18,0,0,0,"simple_robot.lua"
19,0,0,0,"simple_robot.lua"
20,0,0,0,"simple_robot.lua"
21,0,0,0,"simple_robot.lua"
22,0,0,0,"simple_robot.lua"
23,0,0,0,"simple_robot.lua"
24,0,0,0,"simple_robot.lua"
25,0,0,0,"simple_robot.lua"
26,0,0,0,"simple_robot.lua"
27,0,0,0,"simple_robot.lua"
28,0,0,0,"simple_robot.lua"
29,0,0,0,"simple_robot.lua"
30,0,0,0,"simple_robot.lua"
31,0,0,0,"simple_robot.lua"
32,0,0,0,"simple_robot.lua"
33,0,0,0,"simple_robot.lua"
34,0,0,0,"simple_robot.lua"
35,0,0,0,"simple_robot.lua"
36,0,0,0,"simple_robot.lua"
37,0,0,0,"simple_robot.lua"
38,0,0,0,"simple_robot.lua"
39,0,0,0,"simple_robot.lua"
40,0,0,0,"simple_robot.lua"
41,0,0,0,"simple_robot.lua"
42,0,0,0,"simple_robot.lua"
